
2024/09/18 (16:21:51) | ===> btop++ v.1.3.2
2024/09/18 (16:21:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/18 (16:21:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/18 (16:22:05) | ===> btop++ v.1.3.2
2024/09/18 (16:22:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/18 (16:22:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/19 (18:21:10) | ===> btop++ v.1.3.2
2024/09/19 (18:21:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/19 (18:21:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/21 (00:16:31) | ===> btop++ v.1.3.2
2024/09/21 (00:16:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/21 (00:16:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/21 (00:38:28) | ===> btop++ v.1.3.2
2024/09/21 (00:38:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/21 (00:38:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/21 (00:54:20) | ===> btop++ v.1.3.2
2024/09/21 (00:54:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/21 (00:54:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/23 (17:23:34) | ===> btop++ v.1.4.0
2024/09/23 (17:23:34) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/23 (17:23:34) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/09/29 (04:53:46) | ERROR: Stall in Runner thread, restarting!

2024/10/01 (14:33:10) | ===> btop++ v.1.4.0
2024/10/01 (14:33:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/01 (14:33:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/04 (12:08:52) | ===> btop++ v.1.4.0
2024/10/04 (12:08:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/04 (12:08:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/10 (11:23:30) | ===> btop++ v.1.4.0
2024/10/10 (11:23:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/10 (11:23:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (10:13:20) | ===> btop++ v.1.4.0
2024/10/14 (10:13:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (10:13:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/14 (15:35:00) | ===> btop++ v.1.4.0
2024/10/14 (15:35:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/14 (15:35:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/17 (17:06:13) | ===> btop++ v.1.4.0
2024/10/17 (17:06:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/17 (17:06:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/18 (11:44:13) | ===> btop++ v.1.4.0
2024/10/18 (11:44:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/18 (11:44:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (09:08:17) | ===> btop++ v.1.4.0
2024/10/29 (09:08:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (09:08:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (11:17:16) | ===> btop++ v.1.4.0
2024/10/29 (11:17:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (11:17:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (16:39:48) | ===> btop++ v.1.4.0
2024/10/29 (16:39:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (16:39:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/31 (11:25:03) | ===> btop++ v.1.4.0
2024/10/31 (11:25:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/31 (11:25:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/05 (15:59:58) | ===> btop++ v.1.4.0
2024/11/05 (15:59:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/05 (15:59:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/11 (10:06:01) | ===> btop++ v.1.4.0
2024/11/11 (10:06:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/11 (10:06:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/13 (11:49:32) | ===> btop++ v.1.4.0
2024/11/13 (11:49:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/11/13 (11:49:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/11/13 (11:57:41) | ===> btop++ v.1.4.0
